frame.time_relative,ip.src,cmutcp.source_port,ip.dst,cmutcp.destination_port,cmutcp.seq_num,cmutcp.ack_num,cmutcp.hlen,cmutcp.plen,cmutcp.flags,cmutcp.advertised_window,cmutcp.extension_length
2.188876000,10.0.1.2,49065,10.0.1.1,3120,555066899,860840243,33,1400,4,65535,0
2.190228000,10.0.1.1,3120,10.0.1.2,49065,860840243,555068266,33,33,4,6674,0
2.191533000,10.0.1.2,49065,10.0.1.1,3120,555068266,860840243,33,1400,4,65535,0
2.192970000,10.0.1.1,3120,10.0.1.2,49065,860840243,555069633,33,33,4,5307,0
2.197617000,10.0.1.2,49065,10.0.1.1,3120,555069633,860840243,33,1400,4,65535,0
2.198941000,10.0.1.1,3120,10.0.1.2,49065,860840243,555071000,33,33,4,3940,0
2.199843000,10.0.1.2,49065,10.0.1.1,3120,555071000,860840243,33,1400,4,65535,0
2.200396000,10.0.1.1,3120,10.0.1.2,49065,860840243,555072367,33,33,4,2573,0
2.201183000,10.0.1.2,49065,10.0.1.1,3120,555072367,860840243,33,1400,4,65535,0
2.201908000,10.0.1.1,3120,10.0.1.2,49065,860840243,555073734,33,33,4,1206,0
